profile,original_profile,n,Q,mean_T,QT,classical,phase,ancilla,any
01-original,base,16384,1321,952714.3062744140625,1258535598.5885009765625,8,5,0,10
02-more-rounds,rounds,16384,1353,975938.43212890625,1320444698.67041015625,3,2,0,4
03-wider-values,widths,16384,1359,1019114.7283935546875,1384976915.8868408203125,0,1,0,1
04-wider-replay-guards,guarded,16384,1375,1077978.7706298828125,1482220809.6160888671875,0,1,0,1
05-wider-coordinate-check,guarded-coordinates,16384,1375,1078050.79901123046875,1482319848.64044189453125,0,0,0,0
