phase	start	end	ops	ccx	ccz	hmr	reset
tlm_apply_inverse_mod_sub_clean	70641724	70642034	310	20	0	19	21
tlm_inverse_gcd_forward_codec	70642034	70642037	3	0	0	0	0
tlm_inverse_gcd_forward_shift	70642037	70642219	182	44	0	0	2
tlm_inverse_gcd_forward_compare	70642219	70642809	590	118	0	16	17
tlm_inverse_gcd_forward_body	70642809	70643881	1072	117	2	72	74
tlm_apply_inverse_fold	70643881	70646334	2453	350	0	94	129
tlm_apply_inverse_swap	70646334	70647102	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	70647102	70652193	5091	769	16	272	274
tlm_apply_inverse_mod_sub_fold	70652193	70653172	979	85	6	85	85
tlm_apply_inverse_mod_sub_clean	70653172	70653476	304	21	0	18	20
tlm_inverse_gcd_forward_codec	70653476	70653479	3	0	0	0	0
tlm_inverse_gcd_forward_shift	70653479	70653657	178	43	0	0	2
tlm_inverse_gcd_forward_compare	70653657	70654238	581	118	0	15	16
tlm_inverse_gcd_forward_body	70654238	70655295	1057	115	2	71	73
tlm_apply_inverse_fold	70655295	70657748	2453	350	0	94	129
tlm_apply_inverse_swap	70657748	70658516	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	70658516	70663283	4767	769	15	240	242
tlm_apply_inverse_mod_sub_fold	70663283	70664288	1005	87	7	87	87
tlm_apply_inverse_mod_sub_clean	70664288	70664586	298	22	0	17	19
tlm_inverse_gcd_forward_codec	70664586	70664752	166	18	0	4	7
tlm_inverse_gcd_forward_shift	70664752	70664926	174	42	0	0	2
tlm_inverse_gcd_forward_compare	70664926	70665502	576	114	0	16	17
tlm_inverse_gcd_forward_body	70665502	70666516	1014	111	2	68	70
tlm_apply_inverse_fold	70666516	70668969	2453	350	0	94	129
tlm_apply_inverse_swap	70668969	70669737	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	70669737	70674828	5091	769	16	272	274
tlm_apply_inverse_mod_sub_fold	70674828	70675807	979	85	6	85	85
tlm_apply_inverse_mod_sub_clean	70675807	70676111	304	21	0	18	20
tlm_inverse_gcd_forward_codec	70676111	70676114	3	0	0	0	0
tlm_inverse_gcd_forward_shift	70676114	70676284	170	41	0	0	2
tlm_inverse_gcd_forward_compare	70676284	70676843	559	112	0	15	16
tlm_inverse_gcd_forward_body	70676843	70677842	999	109	2	67	69
tlm_apply_inverse_fold	70677842	70680295	2453	350	0	94	129
tlm_apply_inverse_swap	70680295	70681063	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	70681063	70685830	4767	769	15	240	242
tlm_apply_inverse_mod_sub_fold	70685830	70686835	1005	87	7	87	87
tlm_apply_inverse_mod_sub_clean	70686835	70687133	298	22	0	17	19
tlm_inverse_gcd_forward_codec	70687133	70687136	3	0	0	0	0
tlm_inverse_gcd_forward_shift	70687136	70687302	166	40	0	0	2
tlm_inverse_gcd_forward_compare	70687302	70687844	542	110	0	14	15
tlm_inverse_gcd_forward_body	70687844	70688828	984	107	2	66	68
tlm_apply_inverse_fold	70688828	70691281	2453	350	0	94	129
tlm_apply_inverse_swap	70691281	70692049	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	70692049	70696512	4463	769	14	210	212
tlm_apply_inverse_mod_sub_fold	70696512	70697517	1005	89	7	87	87
tlm_apply_inverse_mod_sub_clean	70697517	70697809	292	23	0	16	18
tlm_inverse_gcd_forward_codec	70697809	70697975	166	18	0	4	7
tlm_inverse_gcd_forward_shift	70697975	70698137	162	39	0	0	2
tlm_inverse_gcd_forward_compare	70698137	70698674	537	106	0	15	16
tlm_inverse_gcd_forward_body	70698674	70699615	941	103	2	63	65
tlm_apply_inverse_fold	70699615	70702068	2453	350	0	94	129
tlm_apply_inverse_swap	70702068	70702836	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	70702836	70707603	4767	769	15	240	242
tlm_apply_inverse_mod_sub_fold	70707603	70708608	1005	87	7	87	87
tlm_apply_inverse_mod_sub_clean	70708608	70708906	298	22	0	17	19
tlm_inverse_gcd_forward_codec	70708906	70708909	3	0	0	0	0
tlm_inverse_gcd_forward_shift	70708909	70709067	158	38	0	0	2
tlm_inverse_gcd_forward_compare	70709067	70709587	520	104	0	14	15
tlm_inverse_gcd_forward_body	70709587	70710513	926	101	2	62	64
tlm_apply_inverse_fold	70710513	70712966	2453	350	0	94	129
tlm_apply_inverse_swap	70712966	70713734	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	70713734	70718197	4463	769	14	210	212
tlm_apply_inverse_mod_sub_fold	70718197	70719210	1013	88	8	88	88
tlm_apply_inverse_mod_sub_clean	70719210	70719502	292	23	0	16	18
tlm_inverse_gcd_forward_codec	70719502	70719505	3	0	0	0	0
tlm_inverse_gcd_forward_shift	70719505	70719659	154	37	0	0	2
tlm_inverse_gcd_forward_compare	70719659	70720162	503	102	0	13	14
tlm_inverse_gcd_forward_body	70720162	70721073	911	99	2	61	63
tlm_apply_inverse_fold	70721073	70723526	2453	350	0	94	129
tlm_apply_inverse_swap	70723526	70724294	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	70724294	70728473	4179	769	13	182	184
tlm_apply_inverse_mod_sub_fold	70728473	70729500	1027	91	6	91	91
tlm_apply_inverse_mod_sub_clean	70729500	70729786	286	24	0	15	17
tlm_inverse_gcd_forward_codec	70729786	70729952	166	18	0	4	7
tlm_inverse_gcd_forward_shift	70729952	70730102	150	36	0	0	2
tlm_inverse_gcd_forward_compare	70730102	70730600	498	98	0	14	15
tlm_inverse_gcd_forward_body	70730600	70731468	868	95	2	58	60
tlm_apply_inverse_fold	70731468	70733921	2453	350	0	94	129
tlm_apply_inverse_swap	70733921	70734689	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	70734689	70739152	4463	769	14	210	212
tlm_apply_inverse_mod_sub_fold	70739152	70740165	1013	88	8	88	88
tlm_apply_inverse_mod_sub_clean	70740165	70740457	292	23	0	16	18
tlm_inverse_gcd_forward_codec	70740457	70740460	3	0	0	0	0
tlm_inverse_gcd_forward_shift	70740460	70740606	146	35	0	0	2
tlm_inverse_gcd_forward_compare	70740606	70741087	481	96	0	13	14
tlm_inverse_gcd_forward_body	70741087	70741940	853	93	2	57	59
tlm_apply_inverse_fold	70741940	70744393	2453	350	0	94	129
tlm_apply_inverse_swap	70744393	70745161	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	70745161	70749340	4179	769	13	182	184
tlm_apply_inverse_mod_sub_fold	70749340	70750367	1027	91	6	91	91
tlm_apply_inverse_mod_sub_clean	70750367	70750653	286	24	0	15	17
tlm_inverse_gcd_forward_codec	70750653	70750656	3	0	0	0	0
tlm_inverse_gcd_forward_shift	70750656	70750798	142	34	0	0	2
tlm_inverse_gcd_forward_compare	70750798	70751262	464	94	0	12	13
tlm_inverse_gcd_forward_body	70751262	70752100	838	91	2	56	58
tlm_apply_inverse_fold	70752100	70754553	2453	350	0	94	129
tlm_apply_inverse_swap	70754553	70755321	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	70755321	70759236	3915	769	12	156	158
tlm_apply_inverse_mod_sub_fold	70759236	70760269	1033	93	6	91	91
tlm_apply_inverse_mod_sub_clean	70760269	70760549	280	25	0	14	16
tlm_inverse_gcd_forward_codec	70760549	70760715	166	18	0	4	7
tlm_inverse_gcd_forward_shift	70760715	70760853	138	33	0	0	2
tlm_inverse_gcd_forward_compare	70760853	70761312	459	90	0	13	14
tlm_inverse_gcd_forward_body	70761312	70762107	795	87	2	53	55
tlm_apply_inverse_fold	70762107	70764560	2453	350	0	94	129
tlm_apply_inverse_swap	70764560	70765328	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	70765328	70769507	4179	769	13	182	184
tlm_apply_inverse_mod_sub_fold	70769507	70770534	1027	91	6	91	91
tlm_apply_inverse_mod_sub_clean	70770534	70770820	286	24	0	15	17
tlm_inverse_gcd_forward_codec	70770820	70770823	3	0	0	0	0
tlm_inverse_gcd_forward_shift	70770823	70770957	134	32	0	0	2
tlm_inverse_gcd_forward_compare	70770957	70771399	442	88	0	12	13
tlm_inverse_gcd_forward_body	70771399	70772179	780	85	2	52	54
tlm_apply_inverse_fold	70772179	70774632	2453	350	0	94	129
tlm_apply_inverse_swap	70774632	70775400	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	70775400	70779315	3915	769	12	156	158
tlm_apply_inverse_mod_sub_fold	70779315	70780348	1033	93	6	91	91
tlm_apply_inverse_mod_sub_clean	70780348	70780628	280	25	0	14	16
tlm_inverse_gcd_forward_codec	70780628	70780631	3	0	0	0	0
