batch	index	address	target_x	target_y	addend_x	addend_y	expected_x	expected_y	got_x	got_y	got_address	classical_failure	phase_failure	ancilla_failure	any_failure
0	10	3	0x27200139f0bd797e01383b558a42895aa35a9b9123ee4860b678055989a9b86e	0x39327baa53a369be47ccae0b452427ed8c6fc91ea105dca2e46178bec139ac99	0xf9308a019258c31049344f85f89d5229b531c845836f99b08601f113bce036f9	0x388f7b0f632de8140fe337e62a37f3566500a99934c2231b6cb9fd7584b8e672	0x3601c3310d3ef1d3991f8852be27092be1468f72b2f5722d91f246c45ee8a6c	0xf14dc5dd543cff170251a909c0a4ea7a13beb2c0452945ebcfac2e7dee339c18	0x3601c3310d3ef1d3991f8852be27092be1468f72b2f5722d91f246c45ee8a6c	0xf14dc5dd543cff170251a909c0a4ea7a13beb2c0452945ebcfac2e7dee339c18	0x3	0	0	0	0
0	11	10	0xea7dd25e78f3033ca4375483ef70e94426cb17ddcc6cc068a87d88d42c7a018d	0x161896bc3ef0cbfa58d1a70bc46e3877f68706baa189051608e04de06e81e9ad	0xa0434d9e47f3c86235477c7b1ae6ae5d3442d49b1943c2b752a68e2a47e247c7	0x893aba425419bc27a3b6c7e693a24c696f794c2ed877a1593cbee53b037368d7	0xfc38acf41025014484d34e4bdbe22d82c441279f6994e6e77e2d583d515449a2	0x6b496af4f9a0947880ecea3956851d84d10b1795b3a0b52d21c31fdc94090ca	0xfc38acf41025014484d34e4bdbe22d82c441279f6994e6e77e2d583d515449a2	0x6b496af4f9a0947880ecea3956851d84d10b1795b3a0b52d21c31fdc94090ca	0xa	0	0	0	0
0	12	1	0x7860a4795b02e458180e34b9c365300a6d70055e0c1bcb1d20c01c243de3df47	0x55c6e8e1678c0b85ac5152aae8f13134273d60e1b57d6be1e302bb4a5bd044bd	0x79be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798	0x483ada7726a3c4655da4fbfc0e1108a8fd17b448a68554199c47d08ffb10d4b8	0x132ea318768471112fb3ae744873d24f345b4600b60a47ba34b61d08ebacfb97	0xe670ff9db1df369baa48016dd2401bc0e9ee13c0236543738712d8b8d5ee6087	0x132ea318768471112fb3ae744873d24f345b4600b60a47ba34b61d08ebacfb97	0xe670ff9db1df369baa48016dd2401bc0e9ee13c0236543738712d8b8d5ee6087	0x1	0	0	0	0
0	13	3	0x23305069fa13a15a22f28d5a80e5212719b57761a5bbf639ffc4be37b156ecca	0xfd0db497aef2b56a7904316234b6e72acf4f11ef4a598f3f8588b178b28323cc	0xf9308a019258c31049344f85f89d5229b531c845836f99b08601f113bce036f9	0x388f7b0f632de8140fe337e62a37f3566500a99934c2231b6cb9fd7584b8e672	0x748edf40b312d2b62db55fb6fed8d176b867734d34030a92d4f2e3085fc2b0d3	0x6ef7ad9d10bc89af817e733140141b1274ec0412240da1abbedb423623efa182	0x748edf40b312d2b62db55fb6fed8d176b867734d34030a92d4f2e3085fc2b0d3	0x6ef7ad9d10bc89af817e733140141b1274ec0412240da1abbedb423623efa182	0x3	0	0	0	0
0	14	6	0x8c9f22edd4a11bc567eceae9e34c16bd010880161a7fdc96c96b878e824047e8	0x9170f1576316d3e38849e4986d734514c55ddd6721d823b13cb700f86beb6cc1	0xfff97bd5755eeea420453a14355235d382f6472f8568a18b2f057a1460297556	0xae12777aacfbb620f3be96017f45c560de80f0f6518fe4a03c870c36b075f297	0xc2b400e329b441822bf212d447bc24b7ae3a94fd5f1778bfbf4a1fa2824725b9	0x1e53d17376a2cee318500cf329734e7d737100e32dd843c294c574c9152d1555	0xc2b400e329b441822bf212d447bc24b7ae3a94fd5f1778bfbf4a1fa2824725b9	0x1e53d17376a2cee318500cf329734e7d737100e32dd843c294c574c9152d1555	0x6	0	0	0	0
0	15	15	0x1e7ca4c12782ea3514a4a5cd0eae55cc304ba52634089f45d780cc5d799575d9	0x1985f336c0f47a5e6b8109b56800fcadeb0dd985392d14bdfd9d85fc92e26a7f	0xd7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e	0x581e2872a86c72a683842ec228cc6defea40af2bd896d3a5c504dc9ff6a26b58	0x20144ffeb8ab92a6e3b177d024b947d84f3ba8476106b194c5a20763417ffb06	0x32739a2e86151a7c3561577df934762f4448b8fda5186c94e7f68e94f16feeb2	0x20144ffeb8ab92a6e3b177d024b947d84f3ba8476106b194c5a20763417ffb06	0x32739a2e86151a7c3561577df934762f4448b8fda5186c94e7f68e94f16feeb2	0xf	0	0	0	0
0	16	11	0xf1fcc82769241f4fd3cb33dca304f8fa5115fdda1f0833ae66c3caba06c9d376	0x2b135a8d1b74265a50aa92c4ec2e00a16f337f320106f597bdd81129283fe6b6	0x774ae7f858a9411e5ef4246b70c65aac5649980be5c17891bbec17895da008cb	0xd984a032eb6b5e190243dd56d7b7b365372db1e2dff9d6a8301d74c9c953c61b	0xcb9bb6dfcc9430e667a511dbfba3de66815d4b1e155f6b0317071c98a4017050	0x4435775a5bdbd71fc3b8bbfa991faab2b8b89e06647f3faee38a0015c8d8d767	0xcb9bb6dfcc9430e667a511dbfba3de66815d4b1e155f6b0317071c98a4017050	0x4435775a5bdbd71fc3b8bbfa991faab2b8b89e06647f3faee38a0015c8d8d767	0xb	0	0	0	0
0	17	10	0x5fa0ffec7f7d6b79f05a3b21de313313e0c1811ff40f78c6b4fa35702b32562	0x8ccad63ee37cb265ef669f01f2a863ea793c203a1ddee4b51d8c1fbe80180acf	0xa0434d9e47f3c86235477c7b1ae6ae5d3442d49b1943c2b752a68e2a47e247c7	0x893aba425419bc27a3b6c7e693a24c696f794c2ed877a1593cbee53b037368d7	0xa032f8864bdab893a5f549615390891b0a604dc230a7e8955ce1cee9d1ad5a2f	0x301514e20aa9dd2d235dfc0fc7fba80b7170587ec9ea44b815fb880890712842	0xa032f8864bdab893a5f549615390891b0a604dc230a7e8955ce1cee9d1ad5a2f	0x301514e20aa9dd2d235dfc0fc7fba80b7170587ec9ea44b815fb880890712842	0xa	0	0	0	0
0	18	1	0x368b590383bb70c19e5eaee2c1040b7429550d5eff666d1f70719d26afdd4510	0x1b072d7d7a677d99ee3fc8b3c2386f8bcb17402502f536f128e2ecacf075d96d	0x79be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798	0x483ada7726a3c4655da4fbfc0e1108a8fd17b448a68554199c47d08ffb10d4b8	0xdf630bae38290478eb8beffeb248c120c06dd47381c3809a468497b7f5f9ca73	0xd7cde51562064f5f5564b1f8ec3b2f0c9d58952ac1d8bdec50cc3ac0a168e114	0xdf630bae38290478eb8beffeb248c120c06dd47381c3809a468497b7f5f9ca73	0xd7cde51562064f5f5564b1f8ec3b2f0c9d58952ac1d8bdec50cc3ac0a168e114	0x1	0	0	0	0
0	19	15	0xc5c22788d51a37e995d5dfce76b5b786c307f0aee30048b3100c6343415d7548	0x5f3b9189a300a8bf2d7f39e4d61bfa684d8b56d3e9bb6d6dd67c216d221a7227	0xd7924d4f7d43ea965a465ae3095ff41131e5946f3c85f79e44adbcf8e27e080e	0x581e2872a86c72a683842ec228cc6defea40af2bd896d3a5c504dc9ff6a26b58	0xb5ce3c25c6f53b29b639a6d640ae4ec4052031f7a5798f73be6cc80abd41cfb6	0x205663434285c383c84ffd76534ec6c3a43eac2ea3155861c7935f05d7547dee	0xb5ce3c25c6f53b29b639a6d640ae4ec4052031f7a5798f73be6cc80abd41cfb6	0x205663434285c383c84ffd76534ec6c3a43eac2ea3155861c7935f05d7547dee	0xf	0	0	0	0
