phase	start	end	ops	ccx	ccz	hmr	reset
tlm_apply_inverse_mod_sub_clean	67777640	67777956	316	19	0	20	22
tlm_inverse_gcd_forward_codec	67777956	67777959	3	0	0	0	0
tlm_inverse_gcd_forward_shift	67777959	67778979	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	67778979	67780171	1192	286	0	30	31
tlm_inverse_gcd_forward_body	67780171	67784896	4725	573	4	318	321
tlm_apply_inverse_fold	67784896	67786616	1720	310	0	54	62
tlm_apply_inverse_swap	67786616	67787384	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	67787384	67793608	6224	683	2	426	427
tlm_apply_inverse_mod_sub_fold	67793608	67794267	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	67794267	67794583	316	19	0	20	22
tlm_inverse_gcd_forward_codec	67794583	67794586	3	0	0	0	0
tlm_inverse_gcd_forward_shift	67794586	67795606	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	67795606	67796798	1192	286	0	30	31
tlm_inverse_gcd_forward_body	67796798	67801649	4851	582	4	327	330
tlm_apply_inverse_fold	67801649	67803369	1720	310	0	54	62
tlm_apply_inverse_swap	67803369	67804137	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	67804137	67810421	6284	687	3	430	431
tlm_apply_inverse_mod_sub_fold	67810421	67811080	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	67811080	67811396	316	19	0	20	22
tlm_inverse_gcd_forward_codec	67811396	67811562	166	18	0	4	7
tlm_inverse_gcd_forward_shift	67811562	67812582	1020	254	0	0	0
tlm_inverse_gcd_forward_compare	67812582	67813802	1220	288	0	32	33
tlm_inverse_gcd_forward_body	67813802	67818695	4893	585	4	330	333
tlm_apply_inverse_fold	67818695	67820415	1720	310	0	54	62
tlm_apply_inverse_swap	67820415	67821183	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	67821183	67825957	4774	579	3	322	325
tlm_apply_inverse_mod_sub_fold	67825957	67826616	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	67826616	67826932	316	19	0	20	22
tlm_inverse_gcd_forward_codec	67826932	67826935	3	0	0	0	0
tlm_inverse_gcd_forward_shift	67826935	67827953	1018	253	0	0	2
tlm_inverse_gcd_forward_compare	67827953	67829170	1217	287	0	32	33
tlm_inverse_gcd_forward_body	67829170	67834076	4906	585	4	331	334
tlm_apply_inverse_fold	67834076	67835796	1720	310	0	54	62
tlm_apply_inverse_swap	67835796	67836564	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	67836564	67841338	4774	579	3	322	325
tlm_apply_inverse_mod_sub_fold	67841338	67841997	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	67841997	67842313	316	19	0	20	22
tlm_inverse_gcd_forward_codec	67842313	67842316	3	0	0	0	0
tlm_inverse_gcd_forward_shift	67842316	67843330	1014	252	0	0	2
tlm_inverse_gcd_forward_compare	67843330	67844544	1214	286	0	32	33
tlm_inverse_gcd_forward_body	67844544	67849463	4919	585	4	332	335
tlm_apply_inverse_fold	67849463	67851183	1720	310	0	54	62
tlm_apply_inverse_swap	67851183	67851951	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	67851951	67856725	4774	579	3	322	325
tlm_apply_inverse_mod_sub_fold	67856725	67857384	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	67857384	67857700	316	19	0	20	22
tlm_inverse_gcd_forward_codec	67857700	67857866	166	18	0	4	7
tlm_inverse_gcd_forward_shift	67857866	67858876	1010	251	0	0	2
tlm_inverse_gcd_forward_compare	67858876	67860087	1211	285	0	32	33
tlm_inverse_gcd_forward_body	67860087	67864935	4848	579	4	327	330
tlm_apply_inverse_fold	67864935	67866655	1720	310	0	54	62
tlm_apply_inverse_swap	67866655	67867423	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	67867423	67872197	4774	579	3	322	325
tlm_apply_inverse_mod_sub_fold	67872197	67872856	659	55	2	55	55
tlm_apply_inverse_mod_sub_clean	67872856	67873172	316	19	0	20	22
tlm_inverse_gcd_forward_codec	67873172	67873175	3	0	0	0	0
tlm_inverse_gcd_forward_shift	67873175	67874181	1006	250	0	0	2
tlm_inverse_gcd_forward_compare	67874181	67875389	1208	284	0	32	33
tlm_inverse_gcd_forward_body	67875389	67880250	4861	579	4	328	331
tlm_apply_inverse_fold	67880250	67881970	1720	310	0	54	62
tlm_apply_inverse_swap	67881970	67882738	768	256	0	0	0
tlm_apply_inverse_mod_sub_register	67882738	67887512	4774	579	3	322	325
tlm_apply_inverse_mod_sub_fold	67887512	67888171	659	55	2	55	55
