k,u_before,v_before,tape_bit,sum,u_after,v_after
22,96493412298927727380018345797077164729075288855439784813139023448272795597871,-96493398495435033798890770927565440175024383953221840472365913123224347999279,1,-192986810794362761178909116724642604904099672808661625285504936571497143597150,96493412298927727380018345797077164729075288855439784813139023448272795597871,-96493405397181380589454558362321302452049836404330812642752468285748571798575
23,96493412298927727380018345797077164729075288855439784813139023448272795597871,-96493405397181380589454558362321302452049836404330812642752468285748571798575,1,192986817696109107969472904159398467181125125259770597455891491734021367396446,96493408848054553984736452079699233590562562629885298727945745867010683698223,-96493405397181380589454558362321302452049836404330812642752468285748571798575
24,96493408848054553984736452079699233590562562629885298727945745867010683698223,-96493405397181380589454558362321302452049836404330812642752468285748571798575,1,-192986814245235934574191010442020536042612399034216111370698214152759255496798,96493408848054553984736452079699233590562562629885298727945745867010683698223,-96493407122617967287095505221010268021306199517108055685349107076379627748399
25,96493408848054553984736452079699233590562562629885298727945745867010683698223,-96493407122617967287095505221010268021306199517108055685349107076379627748399,1,192986815970672521271831957300709501611868762146993354413294852943390311446622,96493407985336260635915978650354750805934381073496677206647426471695155723311,-96493407122617967287095505221010268021306199517108055685349107076379627748399
26,96493407985336260635915978650354750805934381073496677206647426471695155723311,-96493407122617967287095505221010268021306199517108055685349107076379627748399,1,-192986815107954227923011483871365018827240580590604732891996533548074783471710,96493407985336260635915978650354750805934381073496677206647426471695155723311,-96493407553977113961505741935682509413620290295302366445998266774037391735855
27,96493407985336260635915978650354750805934381073496677206647426471695155723311,-96493407553977113961505741935682509413620290295302366445998266774037391735855,1,192986815539313374597421720586037260219554671368799043652645693245732547459166,96493407769656687298710860293018630109777335684399521826322846622866273729583,-96493407553977113961505741935682509413620290295302366445998266774037391735855
28,96493407769656687298710860293018630109777335684399521826322846622866273729583,-96493407553977113961505741935682509413620290295302366445998266774037391735855,1,-192986815323633801260216602228701139523397625979701888272321113396903665465438,96493407769656687298710860293018630109777335684399521826322846622866273729583,-96493407661816900630108301114350569761698812989850944136160556698451832732719
29,96493407769656687298710860293018630109777335684399521826322846622866273729583,-96493407661816900630108301114350569761698812989850944136160556698451832732719,1,192986815431473587928819161407369199871476148674250465962483403321318106462302,96493407715736793964409580703684599935738074337125232981241701660659053231151,-96493407661816900630108301114350569761698812989850944136160556698451832732719
30,96493407715736793964409580703684599935738074337125232981241701660659053231151,-96493407661816900630108301114350569761698812989850944136160556698451832732719,1,-192986815377553694594517881818035169697436887326976177117402258359110885963870,96493407715736793964409580703684599935738074337125232981241701660659053231151,-96493407688776847297258940909017584848718443663488088558701129179555442981935
31,96493407715736793964409580703684599935738074337125232981241701660659053231151,-96493407688776847297258940909017584848718443663488088558701129179555442981935,1,192986815404513641261668521612702184784456518000613321539942830840214496213086,96493407702256820630834260806351092392228259000306660769971415420107248106543,-96493407688776847297258940909017584848718443663488088558701129179555442981935
32,96493407702256820630834260806351092392228259000306660769971415420107248106543,-96493407688776847297258940909017584848718443663488088558701129179555442981935,1,-192986815391033667928093201715368677240946702663794749328672544599662691088478,96493407702256820630834260806351092392228259000306660769971415420107248106543,-96493407695516833964046600857684338620473351331897374664336272299831345544239
33,96493407702256820630834260806351092392228259000306660769971415420107248106543,-96493407695516833964046600857684338620473351331897374664336272299831345544239,1,192986815397773654594880861664035431012701610332204035434307687719938593650782,96493407698886827297440430832017715506350805166102017717153843859969296825391,-96493407695516833964046600857684338620473351331897374664336272299831345544239
34,96493407698886827297440430832017715506350805166102017717153843859969296825391,-96493407695516833964046600857684338620473351331897374664336272299831345544239,1,-192986815394403661261487031689702054126824156497999392381490116159800642369630,96493407698886827297440430832017715506350805166102017717153843859969296825391,-96493407697201830630743515844851027063412078248999696190745058079900321184815
35,96493407698886827297440430832017715506350805166102017717153843859969296825391,-96493407697201830630743515844851027063412078248999696190745058079900321184815,1,192986815396088657928183946676868742569762883415101713907898901939869618010206,96493407698044328964091973338434371284881441707550856953949450969934809005103,-96493407697201830630743515844851027063412078248999696190745058079900321184815
36,96493407698044328964091973338434371284881441707550856953949450969934809005103,-96493407697201830630743515844851027063412078248999696190745058079900321184815,1,-192986815395246159594835489183285398348293519956550553144694509049835130189918,96493407698044328964091973338434371284881441707550856953949450969934809005103,-96493407697623079797417744591642699174146759978275276572347254524917565094959
37,96493407698044328964091973338434371284881441707550856953949450969934809005103,-96493407697623079797417744591642699174146759978275276572347254524917565094959,1,192986815395667408761509717930077070459028201685826133526296705494852374100062,96493407697833704380754858965038535229514100842913066763148352747426187050031,-96493407697623079797417744591642699174146759978275276572347254524917565094959
38,96493407697833704380754858965038535229514100842913066763148352747426187050031,-96493407697623079797417744591642699174146759978275276572347254524917565094959,1,-192986815395456784178172603556681234403660860821188343335495607272343752144990,96493407697833704380754858965038535229514100842913066763148352747426187050031,-96493407697728392089086301778340617201830430410594171667747803636171876072495
39,96493407697833704380754858965038535229514100842913066763148352747426187050031,-96493407697728392089086301778340617201830430410594171667747803636171876072495,1,192986815395562096469841160743379152431344531253507238430896156383598063122526,96493407697781048234920580371689576215672265626753619215448078191799031561263,-96493407697728392089086301778340617201830430410594171667747803636171876072495
40,96493407697781048234920580371689576215672265626753619215448078191799031561263,-96493407697728392089086301778340617201830430410594171667747803636171876072495,1,-192986815395509440324006882150030193417502696037347790883195881827970907633758,96493407697781048234920580371689576215672265626753619215448078191799031561263,-96493407697754720162003441075015096708751348018673895441597940913985453816879
