k_zero_based,round_one_based,base704,rounds736,widths_guarded736,proposed_taper768,proposed_full259_768,proved_sufficient_ordinary_width258
336,337,155,155,171,171,259,258
337,338,154,154,170,170,259,258
338,339,154,154,170,170,259,258
339,340,153,153,169,169,259,258
340,341,153,153,169,169,259,258
341,342,153,153,169,169,259,258
342,343,152,152,168,168,259,258
343,344,152,152,168,168,259,258
344,345,151,151,167,167,259,258
345,346,151,151,167,167,259,258
346,347,151,151,167,167,259,258
347,348,150,150,166,166,259,258
348,349,150,150,166,166,259,258
349,350,149,149,165,165,259,258
350,351,149,149,165,165,259,258
351,352,149,149,165,165,259,258
352,353,148,148,164,164,259,258
353,354,148,148,164,164,259,258
354,355,147,147,163,163,259,258
355,356,147,147,163,163,259,258
356,357,147,147,163,163,259,258
357,358,146,146,162,162,259,258
358,359,146,146,162,162,259,258
359,360,145,145,161,161,259,258
360,361,145,145,161,161,259,258
361,362,145,145,161,161,259,258
362,363,144,144,160,160,259,258
363,364,144,144,160,160,259,258
364,365,143,143,159,159,259,258
365,366,143,143,159,159,259,258
366,367,143,143,159,159,259,258
367,368,142,142,158,158,259,258
368,369,142,142,158,158,259,258
369,370,141,141,157,157,259,258
370,371,141,141,157,157,259,258
371,372,141,141,157,157,259,258
372,373,140,140,156,156,259,258
373,374,140,140,156,156,259,258
374,375,139,139,155,155,259,258
375,376,139,139,155,155,259,258
376,377,139,139,155,155,259,258
377,378,138,138,154,154,259,258
378,379,138,138,154,154,259,258
379,380,137,137,153,153,259,258
380,381,137,137,153,153,259,258
381,382,137,137,153,153,259,258
382,383,136,136,152,152,259,258
383,384,136,136,152,152,259,258
384,385,135,135,151,151,259,258
385,386,135,135,151,151,259,258
386,387,135,135,151,151,259,258
387,388,134,134,150,150,259,258
388,389,134,134,150,150,259,258
389,390,133,133,149,149,259,258
390,391,133,133,149,149,259,258
391,392,133,133,149,149,259,258
392,393,132,132,148,148,259,258
393,394,132,132,148,148,259,258
394,395,131,131,147,147,259,258
395,396,131,131,147,147,259,258
396,397,131,131,147,147,259,258
397,398,130,130,146,146,259,258
398,399,130,130,146,146,259,258
399,400,129,129,145,145,259,258
400,401,129,129,145,145,259,258
401,402,129,129,145,145,259,258
402,403,128,128,144,144,259,258
403,404,128,128,144,144,259,258
404,405,127,127,143,143,259,258
405,406,127,127,143,143,259,258
406,407,127,127,143,143,259,258
407,408,126,126,142,142,259,258
408,409,126,126,142,142,259,258
409,410,125,125,141,141,259,258
410,411,125,125,141,141,259,258
411,412,125,125,141,141,259,258
412,413,124,124,140,140,259,258
413,414,124,124,140,140,259,258
