k,u_before,v_before,tape_bit,sum,u_after,v_after
0,115792089237316195423570985008687907853269984665640564039457584007908834671663,1,1,,115792089237316195423570985008687907853269984665640564039457584007908834671663,-57896044618658097711785492504343953926634992332820282019728792003954417335831
1,115792089237316195423570985008687907853269984665640564039457584007908834671663,-57896044618658097711785492504343953926634992332820282019728792003954417335831,1,173688133855974293135356477513031861779904976998460846059186376011863252007494,86844066927987146567678238756515930889952488499230423029593188005931626003747,-57896044618658097711785492504343953926634992332820282019728792003954417335831
2,86844066927987146567678238756515930889952488499230423029593188005931626003747,-57896044618658097711785492504343953926634992332820282019728792003954417335831,1,-144740111546645244279463731260859884816587480832050705049321980009886043339578,86844066927987146567678238756515930889952488499230423029593188005931626003747,-72370055773322622139731865630429942408293740416025352524660990004943021669789
3,86844066927987146567678238756515930889952488499230423029593188005931626003747,-72370055773322622139731865630429942408293740416025352524660990004943021669789,0,14474011154664524427946373126085988481658748083205070504932198000988604333958,7237005577332262213973186563042994240829374041602535252466099000494302166979,-72370055773322622139731865630429942408293740416025352524660990004943021669789
4,7237005577332262213973186563042994240829374041602535252466099000494302166979,-72370055773322622139731865630429942408293740416025352524660990004943021669789,0,-65133050195990359925758679067386948167464366374422817272194891004448719502810,7237005577332262213973186563042994240829374041602535252466099000494302166979,-32566525097995179962879339533693474083732183187211408636097445502224359751405
5,7237005577332262213973186563042994240829374041602535252466099000494302166979,-32566525097995179962879339533693474083732183187211408636097445502224359751405,0,-25329519520662917748906152970650479842902809145608873383631346501730057584426,-12664759760331458874453076485325239921451404572804436691815673250865028792213,-32566525097995179962879339533693474083732183187211408636097445502224359751405
6,-12664759760331458874453076485325239921451404572804436691815673250865028792213,-32566525097995179962879339533693474083732183187211408636097445502224359751405,0,-45231284858326638837332416019018714005183587760015845327913118753089388543618,-12664759760331458874453076485325239921451404572804436691815673250865028792213,-22615642429163319418666208009509357002591793880007922663956559376544694271809
7,-12664759760331458874453076485325239921451404572804436691815673250865028792213,-22615642429163319418666208009509357002591793880007922663956559376544694271809,0,-35280402189494778293119284494834596924043198452812359355772232627409723064022,-17640201094747389146559642247417298462021599226406179677886116313704861532011,-22615642429163319418666208009509357002591793880007922663956559376544694271809
8,-17640201094747389146559642247417298462021599226406179677886116313704861532011,-22615642429163319418666208009509357002591793880007922663956559376544694271809,1,-4975441334415930272106565762092058540570194653601742986070443062839832739798,-17640201094747389146559642247417298462021599226406179677886116313704861532011,-2487720667207965136053282881046029270285097326800871493035221531419916369899
9,-17640201094747389146559642247417298462021599226406179677886116313704861532011,-2487720667207965136053282881046029270285097326800871493035221531419916369899,0,-20127921761955354282612925128463327732306696553207051170921337845124777901910,-10063960880977677141306462564231663866153348276603525585460668922562388950955,-2487720667207965136053282881046029270285097326800871493035221531419916369899
10,-10063960880977677141306462564231663866153348276603525585460668922562388950955,-2487720667207965136053282881046029270285097326800871493035221531419916369899,0,-12551681548185642277359745445277693136438445603404397078495890453982305320854,-10063960880977677141306462564231663866153348276603525585460668922562388950955,-6275840774092821138679872722638846568219222801702198539247945226991152660427
11,-10063960880977677141306462564231663866153348276603525585460668922562388950955,-6275840774092821138679872722638846568219222801702198539247945226991152660427,0,-16339801655070498279986335286870510434372571078305724124708614149553541611382,-8169900827535249139993167643435255217186285539152862062354307074776770805691,-6275840774092821138679872722638846568219222801702198539247945226991152660427
12,-8169900827535249139993167643435255217186285539152862062354307074776770805691,-6275840774092821138679872722638846568219222801702198539247945226991152660427,0,-14445741601628070278673040366074101785405508340855060601602252301767923466118,-8169900827535249139993167643435255217186285539152862062354307074776770805691,-7222870800814035139336520183037050892702754170427530300801126150883961733059
