label	got_x	got_y	classical	phase	ancilla	interface_ok
32	0x2f42eaf8e6dd7bddbc99d4b75c750a0d5dcb3e5ff24ee84c496baa61b26bad7a	0x5f0ed42098b5d42f490c4bd08fede3100bdc5c64439fae91983126692b90e481	0	0	0	true
33	0x4040e8e4b58246fd3dd338eda50b8212ff4fbcc335365f503eac4a5d0d812957	0x4fcc1875577d18a3ed68db705253b2930d43e8cd573848dd025bf96c0749b867	1	0	0	true
34	0x34523e09b42c115b9293c4ff594d2bdf57db35b8923fe41b2d5f6208fa49c54b	0x2256a48e7525d50446cc2379bf65a4e5af0866d1296f5a4879fb49634a5559e4	0	0	0	true
35	0x53d09699ed6a8b10bec69b37e05fcf59911437889725370fd44669443bd467fe	0x4942d04bee0a8da25b09160653fd19c08c0153532d293e73f846baa036dc767f	0	0	0	true
36	0xc3e27bf88e464f6399cb999a8cd3efc0a55aaad384df201e147817ace74a9b6f	0xfbf0f799bd74ef4e177c9341eed4ad47e8920518d57990b719a36459caf1e880	0	0	0	true
37	0x1ca8c5f8ad246086b8c918265e5ee0fde98a43a990d7e0ed69614c099a569b87	0x30e0c76e542dc1e3d107ed4dda6fe4303cca9a0940dfd20c1454a929f7e829b4	1	0	0	true
38	0x24b983f117576dbdc5429a1d3c288fc66b427bf7d6ddd9c3c4f81cc3e75cbb7c	0xa1239497a35efc7c65372d489f5cd868d8aa6c52a038f36c75f88af127633be7	0	0	0	true
39	0xbf7cbbda7fa85b7a956088fa80450c6dfce5887a0d18e61cd7d0eac05340cf8a	0xfb56e4bc2d4629a40f373c751c7154c6cc3aec8904b23bfbacc0aa7a431977e2	0	0	0	true
40	0xa57c04ff769ad572a8b276d4ce4bf90e83f3c1bb2deb735bf89f9004b4ac4ae3	0xe58b5c53ed0135d9a07e5ef790b460ff56e4b49d2054b4bb84a6e2a5ee5436ef	0	0	0	true
41	0x426090410972762064290ea9340341955de910a7a1a8f7121e013812bac888c7	0x558c1b41b9756b1e2e314a53cae4beaf8c4565af2470ad0bbfc46f49f8411dce	0	0	0	true
42	0x5271bec121f2f6487fdd2d5bac3202ce70f33dbaef4cbc6e9be8ba835de98c2a	0xfeb4ce5b4ddac02e6db7b8b32001ced55c142aebdbd19b5618fee29143af4f3f	0	0	0	true
43	0xb6b6f28f7e882d696a7526f469d219a2684a82e8db62a8e26371ab92737bd0f	0xcba88a04ebea3ded16d2744db3a92431e082309200a0fce1c86ff227b001cea1	0	0	0	true
44	0x9b54461671324e81f992da22f245e65e12ab2fd13e1be9cbe31476c86e1e6710	0x2f093b24f7c113e5f6fed8c67e2f8e0e53abf0bd82f044b3f2f99e133c650af4	0	0	0	true
45	0xdbd93576184756d1635f81de1a2f981c1543e4ce4c766a45f62b0e101d3606a	0x9402aac1d7df64169488bf88796c09cbe8eaf13fb9c20ce0ab8e0943c3e99ff7	0	0	0	true
46	0x2a223fbc206337f004765779ab710701002c74abb7cd6a7b63684fa049b704e0	0xcff5aa0e6b1dcb63fd43de7419137a5b7643875b820cd6546a4e907fcd772900	0	0	0	true
